"","SEX","activityTopLevel","duration"
"1",1,"01",561.374485298682
"2",1,"02",94.1004055536014
"3",1,"03",22.2369177926297
"4",1,"04",8.57324794636761
"5",1,"05",194.870615986261
"6",1,"06",15.5082041838234
"7",1,"07",20.090463282915
"8",1,"08",3.35192120672888
"9",1,"09",0.96227937677171
"10",1,"10",0.328488071344327
"11",1,"11",69.4631277286929
"12",1,"12",314.804175546773
"13",1,"13",26.5896356225041
"14",1,"14",9.93697365970742
"15",1,"15",8.66638043410789
"16",1,"16",4.19833847172505
"17",1,"18",73.8313538455172
"18",1,"50",11.1129859918475
"19",2,"01",587.566604188738
"20",2,"02",142.72510797816
"21",2,"03",40.8248553500122
"22",2,"04",10.0782495314155
"23",2,"05",129.377402004727
"24",2,"06",15.3972455382609
"25",2,"07",29.4161845000407
"26",2,"08",5.64337869774265
"27",2,"09",0.847705973433298
"28",2,"10",0.310920055415207
"29",2,"11",65.3348708336729
"30",2,"12",282.646662863662
"31",2,"13",14.2598973188819
"32",2,"14",14.685494254747
"33",2,"15",9.98290277890962
"34",2,"16",9.5160378127292
"35",2,"18",68.5163719338277
"36",2,"50",12.8701083856246
