"","RACE","activityTopLevel","duration"
"1",100,"01",582.049059804892
"2",100,"02",142.995617135586
"3",100,"03",28.1812526509261
"4",100,"04",9.01951081577831
"5",100,"05",142.904283896508
"6",100,"06",10.2676374946981
"7",100,"07",20.2723031245582
"8",100,"08",4.80800226212357
"9",100,"09",0.931429379329846
"10",100,"10",0.187049342570338
"11",100,"11",66.8761487346246
"12",100,"12",322.532730100382
"13",100,"13",23.1812526509261
"14",100,"14",7.09599886893822
"15",100,"15",6.39558885904142
"16",100,"16",8.97356143079316
"17",100,"18",50.4638767142655
"18",100,"50",12.8646967340591
"19",110,"01",609.48821866164
"20",110,"02",99.4703110273327
"21",110,"03",19.679547596607
"22",110,"04",8.95475966069746
"23",110,"05",142.487276154571
"24",110,"06",8.37134778510839
"25",110,"07",16.0358152686145
"26",110,"08",6.30914231856739
"27",110,"09",1.14797360980207
"28",110,"10",0.405278039585297
"29",110,"11",49.8030160226202
"30",110,"12",371.838831291235
"31",110,"13",11.8124410933082
"32",110,"14",18.3440150801131
"33",110,"15",5.63336475023563
"34",110,"16",14.3864278982092
"35",110,"18",43.7229029217719
"36",110,"50",12.1093308199811
"37",120,"01",621.421052631579
"38",120,"02",158.631578947368
"39",120,"03",14.4473684210526
"40",120,"04",11.6184210526316
"41",120,"05",112.947368421053
"42",120,"06",18.9868421052632
"43",120,"07",34.0131578947368
"44",120,"08",1.05263157894737
"45",120,"09",0.0657894736842105
"46",120,"10",0
"47",120,"11",56.7763157894737
"48",120,"12",313.131578947368
"49",120,"13",21.3157894736842
"50",120,"14",4.01315789473684
"51",120,"15",2.36842105263158
"52",120,"16",9.67105263157895
"53",120,"18",50.1052631578947
"54",120,"50",9.43421052631579
"55",131,"01",589.31090487239
"56",131,"02",129.489559164733
"57",131,"03",54.2737819025522
"58",131,"04",3.0139211136891
"59",131,"05",178.890951276102
"60",131,"06",35.2227378190255
"61",131,"07",17.8654292343387
"62",131,"08",2.89327146171694
"63",131,"09",0.510440835266821
"64",131,"10",0
"65",131,"11",82.6102088167053
"66",131,"12",234.84686774942
"67",131,"13",26.3178654292343
"68",131,"14",10.6357308584687
"69",131,"15",5.58700696055684
"70",131,"16",10.1786542923434
"71",131,"18",44.2250580046404
"72",131,"50",14.1276102088167
"73",132,"01",556.4
"74",132,"02",184.8
"75",132,"03",29.2
"76",132,"04",0.133333333333333
"77",132,"05",62.3333333333333
"78",132,"06",28
"79",132,"07",18.6666666666667
"80",132,"08",0
"81",132,"09",0
"82",132,"10",0
"83",132,"11",66.4666666666667
"84",132,"12",419.666666666667
"85",132,"13",20
"86",132,"14",6.66666666666667
"87",132,"15",0
"88",132,"16",0.133333333333333
"89",132,"18",40.5333333333333
"90",132,"50",7
"91",200,"01",544.184210526316
"92",200,"02",132.157894736842
"93",200,"03",30.7368421052632
"94",200,"04",4.34210526315789
"95",200,"05",168.263157894737
"96",200,"06",13.1578947368421
"97",200,"07",20.7105263157895
"98",200,"08",1.44736842105263
"99",200,"09",2.36842105263158
"100",200,"10",0
"101",200,"11",62.5789473684211
"102",200,"12",338.342105263158
"103",200,"13",17.3684210526316
"104",200,"14",4.34210526315789
"105",200,"15",0
"106",200,"16",7.94736842105263
"107",200,"18",75.0789473684211
"108",200,"50",16.9736842105263
"109",201,"01",593.690476190476
"110",201,"02",134.833333333333
"111",201,"03",23.1666666666667
"112",201,"04",23.2619047619048
"113",201,"05",211.714285714286
"114",201,"06",7.85714285714286
"115",201,"07",19.547619047619
"116",201,"08",4.04761904761905
"117",201,"09",0.476190476190476
"118",201,"10",0
"119",201,"11",56.8809523809524
"120",201,"12",290.333333333333
"121",201,"13",7.14285714285714
"122",201,"14",1.42857142857143
"123",201,"15",5
"124",201,"16",7.26190476190476
"125",201,"18",34.6428571428571
"126",201,"50",18.7142857142857
"127",202,"01",604.586206896552
"128",202,"02",140.137931034483
"129",202,"03",35
"130",202,"04",0.310344827586207
"131",202,"05",79.0344827586207
"132",202,"06",32.0689655172414
"133",202,"07",18.2758620689655
"134",202,"08",0.172413793103448
"135",202,"09",0
"136",202,"10",0
"137",202,"11",65.5862068965517
"138",202,"12",364.965517241379
"139",202,"13",31.8965517241379
"140",202,"14",0
"141",202,"15",2.06896551724138
"142",202,"16",10.6896551724138
"143",202,"18",47.1034482758621
"144",202,"50",8.10344827586207
"145",203,"01",652.5
"146",203,"02",127.5
"147",203,"03",0
"148",203,"04",0
"149",203,"05",267.5
"150",203,"06",0
"151",203,"07",0
"152",203,"08",0
"153",203,"09",0
"154",203,"10",0
"155",203,"11",42.5
"156",203,"12",315
"157",203,"13",0
"158",203,"14",0
"159",203,"15",0
"160",203,"16",0
"161",203,"18",35
"162",203,"50",0
"163",210,"01",592.25
"164",210,"02",73.75
"165",210,"03",0
"166",210,"04",3.75
"167",210,"05",3.75
"168",210,"06",0
"169",210,"07",40
"170",210,"08",0
"171",210,"09",6.25
"172",210,"10",26.25
"173",210,"11",80
"174",210,"12",453.25
"175",210,"13",15
"176",210,"14",42.5
"177",210,"15",0
"178",210,"16",65
"179",210,"18",38.25
"180",210,"50",0
"181",211,"01",528
"182",211,"02",32.5
"183",211,"03",0
"184",211,"04",0
"185",211,"05",520
"186",211,"06",0
"187",211,"07",0
"188",211,"08",0
"189",211,"09",0
"190",211,"10",0
"191",211,"11",60
"192",211,"12",202.5
"193",211,"13",45
"194",211,"14",0
"195",211,"15",0
"196",211,"16",10
"197",211,"18",12
"198",211,"50",30
"199",212,"01",625
"200",212,"02",170
"201",212,"03",420
"202",212,"04",0
"203",212,"05",0
"204",212,"06",0
"205",212,"07",45
"206",212,"08",0
"207",212,"09",0
"208",212,"10",0
"209",212,"11",45
"210",212,"12",0
"211",212,"13",0
"212",212,"14",0
"213",212,"15",0
"214",212,"16",0
"215",212,"18",75
"216",212,"50",60
"217",220,"01",690
"218",220,"02",180
"219",220,"03",0
"220",220,"04",0
"221",220,"05",0
"222",220,"06",0
"223",220,"07",70
"224",220,"08",0
"225",220,"09",0
"226",220,"10",0
"227",220,"11",75
"228",220,"12",348
"229",220,"13",40
"230",220,"14",0
"231",220,"15",0
"232",220,"16",0
"233",220,"18",37
"234",220,"50",0
"235",230,"01",725
"236",230,"02",103
"237",230,"03",25
"238",230,"04",0
"239",230,"05",0
"240",230,"06",0
"241",230,"07",0
"242",230,"08",290
"243",230,"09",0
"244",230,"10",0
"245",230,"11",117
"246",230,"12",75
"247",230,"13",0
"248",230,"14",0
"249",230,"15",0
"250",230,"16",0
"251",230,"18",105
"252",230,"50",0
"253",300,"01",546.25
"254",300,"02",140
"255",300,"03",0
"256",300,"04",11.25
"257",300,"05",16.25
"258",300,"06",41.25
"259",300,"07",0
"260",300,"08",0
"261",300,"09",0
"262",300,"10",0
"263",300,"11",46.25
"264",300,"12",524.75
"265",300,"13",37.5
"266",300,"14",15
"267",300,"15",0
"268",300,"16",0
"269",300,"18",41.5
"270",300,"50",20
"271",310,"01",465
"272",310,"02",60
"273",310,"03",0
"274",310,"04",0
"275",310,"05",330
"276",310,"06",0
"277",310,"07",0
"278",310,"08",0
"279",310,"09",0
"280",310,"10",0
"281",310,"11",120
"282",310,"12",435
"283",310,"13",0
"284",310,"14",0
"285",310,"15",0
"286",310,"16",0
"287",310,"18",30
"288",310,"50",0
"289",320,"01",570
"290",320,"02",90
"291",320,"03",0
"292",320,"04",0
"293",320,"05",0
"294",320,"06",0
"295",320,"07",0
"296",320,"08",0
"297",320,"09",0
"298",320,"10",0
"299",320,"11",30
"300",320,"12",660
"301",320,"13",0
"302",320,"14",0
"303",320,"15",0
"304",320,"16",0
"305",320,"18",0
"306",320,"50",90
